,ts_generation,generated_by,co2,pressure,temperature,humidity
0,1750917020100,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,535.0,1007.9,26.2,58.5
1,1750917621703,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,543.0,1007.9,26.0,58.5
2,1750918223351,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,547.0,1008.0,25.8,58.5
3,1750918825023,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,533.0,1008.1,25.6,59.0
4,1750919426591,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,541.0,1008.2,25.7,59.0
5,1750920028221,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,525.0,1008.3,25.7,59.0
6,1750920629819,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,512.0,1008.2,25.6,59.5
7,1750921231454,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,496.0,1008.3,25.7,60.0
8,1750921833082,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,518.0,1008.3,25.7,59.5
9,1750922434687,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,504.0,1008.5,25.9,59.5
10,1750923036291,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,486.0,1008.5,26.1,59.5
11,1750923637928,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,507.0,1008.5,26.1,59.5
12,1750924239537,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,493.0,1008.5,26.4,59.0
13,1750924841179,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,475.0,1008.6,26.5,59.0
14,1750925442801,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,485.0,1008.5,26.7,58.5
15,1750926044407,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,480.0,1008.5,26.8,58.0
16,1750926646028,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,494.0,1008.4,26.9,58.0
17,1750927247659,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,477.0,1008.3,27.1,58.0
18,1750927849275,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,470.0,1008.3,27.2,57.5
19,1750928450887,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,480.0,1008.4,27.4,57.5
20,1750929052533,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,486.0,1008.3,27.5,57.5
21,1750929654163,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,485.0,1008.3,27.7,57.5
22,1750930255758,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,465.0,1008.2,27.8,57.0
23,1750930857410,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,482.0,1008.1,28.0,57.5
24,1750931459061,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,475.0,1008.1,28.2,57.0
25,1750932060685,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,468.0,1008.1,28.4,57.0
26,1750932662404,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,479.0,1008.0,28.6,56.5
27,1750933263879,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,478.0,1007.9,28.7,56.0
28,1750933865498,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,483.0,1007.8,28.8,55.0
29,1750934467131,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,472.0,1007.7,28.8,54.5
30,1750935068746,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,488.0,1007.6,28.8,54.0
31,1750935670431,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,469.0,1007.5,28.9,53.0
32,1750936271969,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,478.0,1007.4,28.9,52.5
33,1750936873579,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,461.0,1007.3,28.9,52.0
34,1750937475240,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,478.0,1007.2,28.9,51.5
35,1750938076857,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,462.0,1007.0,28.8,51.0
36,1750938678483,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,455.0,1006.9,28.8,51.0
37,1750939280100,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,476.0,1006.8,28.8,51.0
38,1750939881706,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,482.0,1006.6,28.7,50.5
39,1750940483347,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,448.0,1006.4,28.6,50.5
40,1750941084954,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,451.0,1006.3,28.6,50.5
41,1750941686599,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,472.0,1006.3,28.4,50.5
42,1750942288193,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,471.0,1006.3,28.3,50.5
43,1750942889802,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,461.0,1006.1,28.3,50.5
44,1750943491455,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,472.0,1006.2,28.3,50.5
45,1750944093054,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,461.0,1006.1,28.1,51.0
46,1750944694669,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,460.0,1006.1,28.1,51.0
47,1750945296294,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,465.0,1006.2,27.8,51.5
48,1750945897928,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,464.0,1006.2,27.9,51.5
49,1750946499527,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,450.0,1006.2,27.8,52.0
50,1750947101167,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,454.0,1006.3,27.8,54.0
51,1750947702771,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,471.0,1006.1,27.8,55.0
52,1750948304407,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,462.0,1006.1,27.8,55.5
53,1750948906039,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,457.0,1006.0,27.8,55.5
54,1750949507654,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,460.0,1005.9,27.7,55.0
55,1750950109281,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,463.0,1005.8,27.6,55.0
56,1750950710911,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,475.0,1005.6,27.6,54.5
57,1750951312514,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,461.0,1005.6,27.5,54.0
58,1750951914131,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,478.0,1005.6,27.3,54.0
59,1750952515770,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,443.0,1005.4,27.3,53.5
60,1750953117397,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,471.0,1005.6,27.2,53.5
61,1750953719006,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,461.0,1005.5,27.1,53.5
62,1750954320620,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,461.0,1005.6,27.0,54.5
63,1750954922248,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,463.0,1005.6,27.0,55.0
64,1750955523865,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,458.0,1005.6,27.1,55.5
65,1750956125514,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,461.0,1005.6,27.2,55.5
66,1750956727118,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,465.0,1005.7,27.2,56.0
67,1750957328756,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,467.0,1005.8,27.5,56.0
68,1750957930361,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,447.0,1005.9,27.4,56.5
69,1750958531980,5bdbea26bc6cc75125bdcb9a1162aaf0ec6d13f1385cadee529250b2645bb945,474.0,1006.0,27.6,56.5
