,ts_generation,generated_by,co2,pressure,temperature,humidity
47,1718179443540,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,473.0,,22.7,80.0
48,1718180055675,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,472.0,,22.6,79.0
49,1718180667887,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,460.0,,22.8,76.0
50,1718181280022,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,479.0,,23.1,76.0
51,1718181892246,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,448.0,,23.5,75.0
52,1718182504398,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,461.0,,23.3,73.0
53,1718183116549,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,454.0,,23.1,73.0
54,1718183728745,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,475.0,,23.4,70.0
55,1718184340901,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,454.0,,23.8,68.0
56,1718184953042,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,462.0,,24.3,68.0
57,1718185565223,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,463.0,,24.7,67.0
58,1718186177373,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,450.0,,24.6,68.0
59,1718186789501,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,458.0,,25.3,68.0
60,1718187401712,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,460.0,,25.2,65.0
61,1718188013920,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,461.0,,25.9,63.0
62,1718188626092,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,465.0,,26.3,63.0
63,1718189238238,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,461.0,,26.8,62.0
64,1718189850420,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,477.0,,27.4,61.0
65,1718190462558,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,459.0,,27.9,59.0
66,1718191074769,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,464.0,,28.2,59.0
67,1718191686904,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,472.0,,28.7,58.0
68,1718192299059,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,457.0,,28.8,54.0
69,1718192911280,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,465.0,,29.4,54.0
70,1718193523425,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,460.0,,29.7,52.0
71,1718194135581,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,472.0,,30.1,52.0
72,1718194747784,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,452.0,,29.9,52.0
73,1718195359963,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,445.0,,30.5,50.0
74,1718195972117,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,452.0,,30.5,52.0
75,1718196584271,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,454.0,,29.3,52.0
76,1718197196483,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,465.0,,29.7,52.0
77,1718197808641,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,464.0,,28.0,51.0
78,1718198420870,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,456.0,,28.0,51.0
79,1718199033081,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,456.0,,29.0,51.0
80,1718199645254,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,479.0,,30.8,46.0
81,1718200257393,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,448.0,,31.3,46.0
82,1718200869616,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,446.0,,31.0,47.0
83,1718201481745,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,457.0,,29.3,45.0
84,1718202093964,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,441.0,,29.1,45.0
85,1718202706109,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,457.0,,29.1,38.0
86,1718203318275,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,437.0,,28.6,26.0
87,1718203930505,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,450.0,,28.7,26.0
88,1718204542730,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,456.0,,29.7,25.0
89,1718205154969,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,478.0,,30.4,25.0
90,1718205767197,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,465.0,,30.4,24.0
91,1718206379347,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,461.0,,29.7,24.0
92,1718206991513,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,469.0,,30.0,25.0
93,1718207603645,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,448.0,,29.7,24.0
94,1718208215823,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,451.0,,29.5,24.0
95,1718208827990,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,440.0,,28.7,26.0
96,1718209440133,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,461.0,,28.0,28.0
97,1718210052286,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,443.0,,27.7,28.0
98,1718210664473,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,447.0,,27.2,30.0
99,1718211276698,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,456.0,,27.1,31.0
100,1718211888848,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,452.0,,26.9,31.0
101,1718212501081,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,448.0,,27.5,34.0
102,1718213113209,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,463.0,,27.5,48.0
103,1718213725362,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,445.0,,28.2,48.0
104,1718214337509,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,450.0,,27.9,59.0
105,1718214949701,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,453.0,,27.2,54.0
106,1718215561821,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,448.0,,24.5,54.0
107,1718216173974,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,460.0,,21.6,60.0
108,1718216786087,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,449.0,,20.3,64.0
109,1718217398263,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,455.0,,19.6,64.0
110,1718218010403,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,451.0,,18.8,66.0
111,1718218622533,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,469.0,,18.2,72.0
112,1718219234681,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,465.0,,17.6,72.0
113,1718219846870,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,485.0,,17.2,77.0
114,1718220459031,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,464.0,,16.7,79.0
115,1718221071181,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,486.0,,16.3,81.0
116,1718221683331,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,498.0,,15.9,81.0
117,1718222295554,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,504.0,,15.4,81.0
118,1718222907683,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,500.0,,15.2,83.0
119,1718223519829,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,545.0,,14.8,83.0
120,1718224131960,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,516.0,,14.5,83.0
121,1718224744127,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,522.0,,14.4,87.0
122,1718225356270,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,519.0,,14.3,87.0
123,1718225968408,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,539.0,,14.1,87.0
124,1718226580550,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,531.0,,13.9,88.0
125,1718227192784,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,545.0,,13.8,88.0
126,1718227804910,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,554.0,,13.6,93.0
127,1718228417083,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,537.0,,13.9,96.0
128,1718229029222,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,558.0,,14.4,96.0
129,1718229641457,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,522.0,,14.9,97.0
130,1718230253674,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,532.0,,15.2,97.0
131,1718230865828,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,505.0,,15.7,97.0
132,1718231477980,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,514.0,,15.9,95.0
133,1718232090140,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,510.0,,15.8,93.0
134,1718232702283,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,523.0,,15.6,93.0
135,1718233314416,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,527.0,,15.1,93.0
136,1718233926611,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,510.0,,14.8,94.0
137,1718234538812,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,522.0,,14.6,94.0
138,1718235150978,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,520.0,,14.5,93.0
139,1718235763138,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,523.0,,14.5,89.0
140,1718236375312,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,513.0,,14.6,87.0
141,1718236987454,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,510.0,,14.4,87.0
142,1718237599582,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,535.0,,14.0,88.0
143,1718238211729,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,537.0,,13.9,87.0
144,1718238823881,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,526.0,,14.0,87.0
145,1718239436056,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,511.0,,13.9,83.0
146,1718240048208,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,506.0,,14.1,80.0
147,1718240660350,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,511.0,,14.0,80.0
148,1718241272564,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,519.0,,13.9,79.0
149,1718241884778,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,523.0,,13.9,78.0
150,1718242496912,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,515.0,,13.8,78.0
151,1718243109077,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,511.0,,14.0,77.0
152,1718243721225,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,507.0,,13.9,75.0
153,1718244333364,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,519.0,,13.9,75.0
154,1718244945588,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,518.0,,13.9,77.0
155,1718245557760,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,533.0,,13.7,81.0
156,1718246169912,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,527.0,,13.7,81.0
157,1718246782069,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,524.0,,13.5,84.0
158,1718247394213,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,522.0,,13.6,82.0
159,1718248006392,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,535.0,,13.6,82.0
160,1718248618540,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,527.0,,13.6,80.0
161,1718249230683,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,529.0,,13.7,81.0
162,1718249842821,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,545.0,,13.7,81.0
163,1718250454962,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,534.0,,13.7,80.0
164,1718251067162,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,553.0,,13.5,82.0
165,1718251679385,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,549.0,,13.6,84.0
166,1718252291605,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,530.0,,13.6,84.0
167,1718252903750,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,531.0,,13.8,80.0
168,1718253515889,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,522.0,,14.1,79.0
169,1718254128032,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,539.0,,14.5,79.0
170,1718254740183,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,526.0,,15.1,80.0
171,1718255352324,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,497.0,,15.5,76.0
172,1718255964461,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,516.0,,16.2,76.0
173,1718256576615,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,517.0,,16.3,75.0
174,1718257188801,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,503.0,,16.5,75.0
175,1718257800964,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,507.0,,16.8,75.0
176,1718258413121,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,484.0,,17.5,74.0
177,1718259025339,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,507.0,,18.1,76.0
178,1718259637477,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,508.0,,18.3,76.0
179,1718260249623,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,498.0,,18.4,80.0
180,1718260861833,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,503.0,,17.9,85.0
181,1718261473993,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,485.0,,17.7,85.0
182,1718262086145,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,478.0,,17.4,88.0
183,1718262698332,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,473.0,,17.2,89.0
184,1718263310476,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,479.0,,16.8,89.0
185,1718263922641,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,498.0,,16.7,89.0
186,1718264534775,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,475.0,,16.7,88.0
187,1718265146902,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,462.0,,16.7,88.0
188,1718265759076,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,464.0,,17.0,86.0
189,1718266371201,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,472.0,,17.6,83.0
190,1718266983326,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,468.0,,18.6,82.0
191,1718267595497,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,458.0,,19.2,82.0
192,1718268207719,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,457.0,,19.2,81.0
193,1718268819851,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,459.0,,20.1,77.0
194,1718269432071,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,476.0,,20.6,77.0
195,1718270044295,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,489.0,,21.5,72.0
196,1718270656507,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,466.0,,23.0,70.0
197,1718271880815,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,462.0,,22.3,72.0
198,1718272492977,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,471.0,,22.2,69.0
199,1718273105232,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,451.0,,23.5,69.0
200,1718273717415,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,471.0,,23.8,66.0
201,1718274329625,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,453.0,,24.8,63.0
202,1718274941773,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,469.0,,24.6,63.0
203,1718275553926,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,472.0,,24.4,65.0
204,1718276166060,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,472.0,,25.3,60.0
205,1718276778204,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,452.0,,25.9,60.0
206,1718277390344,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,468.0,,25.8,60.0
207,1718278002484,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,454.0,,26.0,58.0
