,ts_generation,generated_by,co2,pressure,temperature,humidity
0,1688019286484,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,635,1010.7,24.5,61.0
1,1688043749456,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,472,1010.9,41.2,39.5
2,1688044308221,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,467,1010.8,40.2,46.0
3,1688044908191,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,463,1010.6,39.7,38.0
4,1688045508203,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,436,1010.6,39.4,35.0
5,1688046108167,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,427,1010.3,39.8,33.0
6,1688046708148,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,450,1010.1,38.7,32.5
7,1688047308111,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,472,1010.1,40.6,30.0
8,1688047908086,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,442,1010.0,35.9,31.5
9,1688048507727,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,442,1009.9,34.9,35.0
10,1688049107749,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,433,1009.9,34.7,35.0
11,1688049707658,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,443,1009.7,34.2,34.5
12,1688050307613,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,442,1009.7,33.6,35.0
13,1688050907599,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,433,1009.6,33.8,35.0
14,1688051507573,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,456,1009.5,34.2,35.0
15,1688052107570,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,448,1009.4,34.5,34.5
16,1688052707537,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,448,1009.2,34.5,36.0
17,1688053307493,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,454,1009.2,34.6,35.5
18,1688053907497,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,428,1009.0,34.6,35.0
19,1688054507432,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,424,1009.1,34.2,35.5
20,1688055107423,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,449,1009.1,33.9,36.5
21,1688055707424,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,436,1009.1,33.9,37.0
22,1688056309091,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,434,1009.2,33.9,35.0
23,1688056907340,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,440,1009.0,33.9,34.5
24,1688057507321,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,444,1009.0,34.0,35.0
25,1688058107291,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,440,1008.9,33.2,37.0
26,1688058707271,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,446,1008.9,33.1,36.5
27,1688059307252,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,449,1008.9,32.7,38.0
28,1688059907218,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,446,1009.0,31.7,38.0
29,1688060508882,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,452,1009.1,30.7,40.0
30,1688061107165,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,461,1009.1,29.3,46.0
31,1688061707113,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,464,1009.2,28.4,44.5
32,1688062307089,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,450,1009.2,27.8,45.5
33,1688062907107,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,460,1009.2,27.7,47.5
34,1688063507042,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,447,1009.3,27.3,46.0
35,1688064106977,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,451,1009.2,27.0,46.5
36,1688064708696,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,468,1009.2,26.4,46.0
37,1688065306946,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,439,1009.2,26.1,47.0
38,1688065906929,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,469,1009.3,25.8,47.0
39,1688066506907,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,460,1009.3,25.4,48.0
40,1688067106871,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,481,1009.3,25.0,48.5
