ts_generation,gdd,standard_day_degree_daily,daily_mean_temperature,daily_max_above_Tbase,daily_max,daily_max_reduction,ontario_units
1694822476557,1363.3,14.5,24.5,22.9,32.9,21.1,26.6
1694908872458,1380.3,17.0,27.0,25.6,35.6,18.4,27.7
1694995268393,1395.4,15.1,25.1,22.2,32.2,21.8,28.5
1695081664177,1411.1,15.7,25.7,26.0,36.0,18.0,24.8
1695168060201,1424.9,13.8,23.8,24.1,34.1,19.9,23.9
1695254456120,1438.6,13.7,23.7,21.8,31.8,21.8,26.4
1695340851994,1450.4,11.8,21.8,17.4,27.4,17.4,26.9
1695427247846,1461.6,11.2,21.2,20.3,30.3,20.3,23.4
1695513643806,1471.4,9.8,19.8,19.4,29.4,19.4,21.6
1695600039868,1481.1,9.8,19.8,19.7,29.7,19.7,21.4
1695686435884,1493.1,12.0,22.0,21.3,31.3,21.3,23.8
1695772831865,1505.8,12.8,22.8,22.2,32.2,21.8,24.3
1695859227869,1519.2,13.4,23.4,22.9,32.9,21.1,24.7
1695945623850,1532.4,13.2,23.2,22.3,32.3,21.7,25.0
1696032019893,1546.2,13.8,23.8,23.4,33.4,20.6,24.7
1696118415835,1559.1,13.0,23.0,22.6,32.6,21.4,24.2
1696204811820,1571.9,12.8,22.8,22.3,32.3,21.7,24.3
1696291207810,1584.7,12.8,22.8,22.7,32.7,21.3,23.8
1696377603760,1596.1,11.4,21.4,20.6,30.6,20.6,23.5
1696464433107,1607.8,11.6,21.6,20.4,30.4,20.4,24.1
1696550829020,1620.8,13.0,23.0,20.5,30.5,20.5,26.5
1696637224947,1633.7,12.9,22.9,21.2,31.2,21.2,25.6
1696723620870,1648.7,15.0,25.0,24.9,34.9,19.1,25.0
1696810016857,1664.1,15.4,25.4,25.7,35.7,18.3,24.7
1696896412838,1676.2,12.1,22.1,23.3,33.3,20.7,21.8
1696982808859,1688.8,12.6,22.6,21.2,31.2,21.2,25.2
1697069204790,1702.6,13.8,23.8,21.8,31.8,21.8,26.5
1697155600714,1715.4,12.8,22.8,21.4,31.4,21.4,25.1
1697241996649,1726.6,11.2,21.2,21.4,31.4,21.4,22.3
1697328392603,1736.8,10.2,20.2,19.0,29.0,19.0,22.9
1697414788532,1742.2,5.4,15.4,9.4,19.4,9.4,18.3
1697501184600,1748.4,6.1,16.2,13.0,23.0,13.0,19.0
1697587580696,1750.2,1.8,11.8,3.7,13.7,3.7,10.6
1697673976936,1752.0,1.8,11.8,3.7,13.7,3.7,10.5
1697760373129,1759.0,6.9,16.9,12.1,22.1,12.1,20.6
1697846769117,1767.0,8.0,18.0,15.1,25.1,15.1,21.5
1697933165151,1773.6,6.7,16.7,16.6,26.6,16.6,18.1
1698019561258,1781.6,7.9,17.9,17.1,27.1,17.1,20.1
1698105957273,1787.8,6.2,16.2,8.9,18.9,8.9,19.8
