ts_generation,gdd,standard_day_degree_daily,daily_mean_temperature,daily_max_above_Tbase,daily_max,daily_max_reduction,ontario_units
1688019286484,21.8,21.8,31.8,31.2,41.2,12.8,27.4
1688083306079,34.6,12.8,22.8,17.6,27.6,17.6,28.4
1688169701904,49.7,15.0,25.0,23.2,33.2,20.8,27.3
1688256097827,66.4,16.7,26.7,26.2,36.2,17.8,26.3
1688342493833,83.4,17.0,27.0,25.4,35.4,18.6,28.1
1688428889791,99.8,16.4,26.4,24.1,34.1,19.9,28.5
1688515285731,117.0,17.2,27.2,24.9,34.9,19.1,29.1
1688601681680,130.0,13.0,23.0,19.5,29.5,19.5,27.5
1688688079208,144.9,14.8,24.8,24.3,34.3,19.7,25.5
1688774473495,161.8,17.0,27.0,27.5,37.5,16.5,24.8
1688860869527,181.1,19.3,29.3,28.9,38.9,15.1,26.8
1688947265696,202.2,21.1,31.1,30.9,40.9,13.1,26.6
1689033661813,224.0,21.8,31.8,31.5,41.5,12.5,26.8
1689120058007,243.7,19.6,29.6,28.5,38.5,15.5,28.1
1689206454091,261.2,17.5,27.5,25.7,35.7,18.3,28.5
1689292850032,279.8,18.6,28.6,27.0,37.0,17.0,28.5
1689379245994,300.1,20.4,30.4,30.1,40.1,13.9,26.6
1689465642095,319.6,19.5,29.4,31.1,41.1,12.9,23.2
1689552039995,340.5,21.0,31.0,31.4,41.4,12.6,25.4
1689638434476,360.9,20.3,30.4,31.3,41.3,12.7,24.5
1689724830707,382.4,21.5,31.6,30.4,40.4,13.6,28.3
1689811226820,401.7,19.3,29.3,28.7,38.7,15.3,27.1
1689897622941,420.7,19.0,29.0,27.5,37.5,16.5,28.4
1689984018909,436.7,16.0,26.0,24.3,34.3,19.7,27.7
1690070414830,454.3,17.6,27.6,27.7,37.7,16.3,25.7
1690156810905,470.0,15.6,25.6,25.3,35.3,18.7,25.7
1690243206850,485.0,15.0,25.0,23.3,33.3,20.7,27.2
1690329602801,500.5,15.5,25.5,24.2,34.2,19.8,26.9
1690416598699,515.1,14.6,24.6,24.5,34.5,19.5,24.8
1690502994681,529.8,14.8,24.8,24.6,34.6,19.4,25.1
1690589390642,547.6,17.8,27.8,27.9,37.9,16.1,25.7
1690675786674,565.8,18.2,28.2,28.3,38.3,15.7,25.8
1690762182717,584.1,18.2,28.2,26.8,36.8,17.2,28.1
1690848578712,599.5,15.4,25.4,23.0,33.0,21.0,28.2
1690934974606,616.9,17.4,27.4,26.4,36.4,17.6,27.3
1691021370596,635.2,18.2,28.2,25.2,35.2,18.8,30.5
1691107766552,648.8,13.6,23.6,20.1,30.1,20.1,27.9
1691194162382,662.8,14.0,24.0,22.1,32.1,21.9,26.7
1691280558300,676.6,13.8,23.8,24.1,34.1,19.9,23.9
1691366954320,688.3,11.7,21.7,23.3,33.3,20.7,21.1
1691453350369,701.5,13.2,23.2,24.6,34.6,19.4,22.2
1691539746415,716.8,15.2,25.2,26.5,36.5,17.5,23.3
1691626142420,731.9,15.1,25.1,25.9,35.9,18.1,23.9
1691712538440,749.0,17.2,27.2,27.0,37.0,17.0,25.9
1691798934462,765.7,16.7,26.7,27.0,37.0,17.0,25.1
1691885330513,783.9,18.2,28.2,28.1,38.1,15.9,26.1
1691971726640,802.8,18.9,28.9,28.5,38.5,15.5,26.7
1692058122637,822.3,19.5,29.5,29.6,39.6,14.4,26.0
1692144518719,841.5,19.2,29.2,29.1,39.1,14.9,26.2
1692230595167,859.9,18.4,28.4,27.8,37.8,16.2,27.0
1692316991124,879.6,19.7,29.7,29.7,39.7,14.3,26.2
1692403388932,899.9,20.4,30.4,30.9,40.9,13.1,25.2
1692489783379,919.2,19.2,29.2,30.0,40.0,14.0,24.8
1692576179533,941.0,21.8,31.8,31.9,41.9,12.1,26.0
1692662575763,962.9,21.9,31.9,32.0,42.0,12.0,25.9
1692748971999,984.9,22.7,32.7,33.7,43.7,10.3,24.0
1692835368274,1005.8,20.8,30.8,32.6,42.6,11.4,22.9
1692921764512,1026.6,20.8,30.8,32.1,42.1,11.9,23.8
1693008160732,1045.0,18.4,28.4,28.4,38.4,15.6,25.9
1693094556800,1059.4,14.5,24.5,19.5,29.5,19.5,30.1
1693180952591,1074.4,14.9,24.9,22.9,32.9,21.1,27.4
1693267348460,1083.9,9.5,19.5,14.6,24.6,14.6,24.4
1693353744355,1097.5,13.6,23.6,21.9,31.9,21.9,26.2
1693440140264,1110.3,12.8,22.8,22.4,32.4,21.6,24.1
1693526536188,1124.4,14.0,24.0,24.5,34.5,19.5,23.9
1693612932186,1141.0,16.6,26.6,27.0,37.0,17.0,25.0
1693699328215,1158.3,17.4,27.4,27.5,37.5,16.5,25.5
1693785724232,1174.8,16.5,26.4,26.1,36.1,17.9,26.0
1693872120235,1188.1,13.3,23.3,22.8,32.8,21.2,24.7
1693958516199,1202.2,14.2,24.2,26.0,36.0,18.0,22.0
1694044912285,1217.4,15.1,25.1,26.2,36.2,17.8,23.4
1694131308321,1232.9,15.6,25.6,27.0,37.0,17.0,23.2
1694217704420,1248.8,15.8,25.8,27.2,37.2,16.8,23.3
1694304100543,1265.6,16.8,26.8,28.7,38.7,15.3,22.7
1694390496629,1283.6,18.0,28.0,29.1,39.1,14.9,24.1
1694476892713,1302.0,18.4,28.4,29.4,39.4,14.6,24.3
1694563288777,1318.6,16.6,26.6,26.6,36.6,17.4,25.6
1694649684685,1333.7,15.1,25.1,25.2,35.2,18.8,24.8
1694736080645,1348.8,15.2,25.2,24.2,34.2,19.8,26.2
