ts_generation,gdd,standard_day_degree_daily,daily_mean_temperature,daily_max_above_Tbase,daily_max,daily_max_reduction,ontario_units
1750917020100,17.2,17.2,27.2,18.9,28.9,18.9,35.5
1750982596938,33.8,16.5,26.5,18.3,28.3,18.3,34.7
1751069230584,52.6,18.8,28.8,22.2,32.2,21.8,35.3
1751155264223,72.6,20.0,30.0,23.0,33.0,21.0,36.3
1751241898047,89.6,17.1,27.1,19.5,29.5,19.5,34.8
1751328531529,104.7,15.0,25.0,16.9,26.9,16.9,33.1
1751414563304,118.4,13.8,23.8,15.6,25.6,15.6,31.5
1751501196665,131.7,13.2,23.2,15.1,25.1,15.1,30.9
1751587231075,145.5,13.8,23.8,16.3,26.3,16.3,31.3
1751673865333,162.2,16.6,26.6,17.3,27.3,17.3,35.7
1751760499494,178.3,16.1,26.1,16.6,26.6,16.6,35.1
1751846532513,193.1,14.8,24.8,24.1,34.1,19.9,25.8
1751933166284,205.5,12.4,22.4,21.7,31.7,21.7,24.1
1752019800589,217.0,11.5,21.5,22.8,32.8,21.2,21.4
1752105836023,231.1,14.0,24.0,23.4,33.4,20.6,25.2
1752192470013,246.4,15.3,25.3,25.1,35.1,18.9,25.3
1752278504558,262.5,16.1,26.1,24.8,34.8,19.2,27.2
1752365138337,276.0,13.5,23.5,19.4,29.4,19.4,28.4
1752451773657,293.2,17.2,27.2,26.3,36.3,17.7,27.1
1752537805844,312.4,19.2,29.2,28.3,38.3,15.7,27.7
1752624440410,332.1,19.6,29.6,28.4,38.4,15.6,28.3
1752710474789,349.7,17.6,27.6,26.3,36.3,17.7,27.8
1752797108766,366.3,16.6,26.6,26.9,36.9,17.1,25.2
1752883745824,382.3,16.0,26.0,24.5,34.5,19.5,27.4
1752969778069,401.2,18.8,28.8,26.6,36.6,17.4,29.5
1753056414619,418.8,17.6,27.6,24.8,34.8,19.2,30.0
1753142446787,436.6,17.8,27.8,27.1,37.1,16.9,26.9
1753229080644,455.4,18.8,28.8,26.5,36.5,17.5,29.7
1753315714301,471.8,16.4,26.4,23.7,33.7,20.3,29.0
1753401746556,484.6,12.9,22.9,18.9,28.9,18.9,27.7
1753488380346,498.0,13.4,23.4,19.8,29.8,19.8,27.8
1753574412726,513.5,15.5,25.5,25.2,35.2,18.8,25.5
1753661046596,523.0,9.6,19.6,13.5,23.5,13.5,24.9
1753747680440,536.2,13.2,23.2,21.8,31.8,21.8,25.5
